omega,Overhead_Tv_real_0_0,Overhead_Tv_imag_0_0,Overhead_Tv_real_0_1,Overhead_Tv_imag_0_1,Overhead_Tv_real_0_2,Overhead_Tv_imag_0_2,Overhead_Tv_real_1_0,Overhead_Tv_imag_1_0,Overhead_Tv_real_1_1,Overhead_Tv_imag_1_1,Overhead_Tv_real_1_2,Overhead_Tv_imag_1_2,Overhead_Tv_real_2_0,Overhead_Tv_imag_2_0,Overhead_Tv_real_2_1,Overhead_Tv_imag_2_1,Overhead_Tv_real_2_2,Overhead_Tv_imag_2_2,Overhead_Ti_real_0_0,Overhead_Ti_imag_0_0,Overhead_Ti_real_0_1,Overhead_Ti_imag_0_1,Overhead_Ti_real_0_2,Overhead_Ti_imag_0_2,Overhead_Ti_real_1_0,Overhead_Ti_imag_1_0,Overhead_Ti_real_1_1,Overhead_Ti_imag_1_1,Overhead_Ti_real_1_2,Overhead_Ti_imag_1_2,Overhead_Ti_real_2_0,Overhead_Ti_imag_2_0,Overhead_Ti_real_2_1,Overhead_Ti_imag_2_1,Overhead_Ti_real_2_2,Overhead_Ti_imag_2_2,Overhead_Tau_0,Overhead_Tau_1,Overhead_Tau_2,Overhead_H_real_0,Overhead_H_imag_0,Overhead_H_real_1,Overhead_H_imag_1,Overhead_H_real_2,Overhead_H_imag_2
6.2831853071795869e+01,-3.7916632522606070e-01,-7.3818612241300374e-03,-7.0710678118654446e-01,-6.8833827526759706e-15,5.7484450759728956e-01,-6.0835914216313784e-03,8.4401232922207159e-01,0.0000000000000000e+00,-6.9803100813885806e-15,7.8711137900929344e-15,5.8226588771908028e-01,0.0000000000000000e+00,-3.7916632522605975e-01,-7.3818612241310644e-03,7.0710678118655035e-01,0.0000000000000000e+00,5.7484450759729000e-01,-6.0835914216317722e-03,-4.1239737866020670e-01,4.8861360573871162e-04,-7.0710678118654746e-01,-3.3084229614915313e-15,5.9778269596312272e-01,-7.0826046342878834e-04,8.1429238976902618e-01,7.6527935244438405e-03,-6.2803698347350632e-16,-7.4088737894140918e-16,5.3708656137883781e-01,-1.1092959803851095e-02,-4.1239737866019521e-01,4.8861360575186180e-04,7.0710678118654768e-01,3.5749093573111026e-15,5.9778269596312317e-01,-7.0826046342873262e-04,1.0913204114766705e-03,1.1094085002461220e-03,1.7777766090665938e-03,9.8984440873297797e-01,-6.7979894134557031e-02,9.9105679012220571e-01,-6.9194902698111571e-02,9.8242519697700381e-01,-1.1019656901177857e-01
6.5415379968575820e+01,-3.7920584014051106e-01,-7.2158225118626462e-03,-7.0710678118654591e-01,-1.8596235662471372e-15,5.7483073917665128e-01,-6.0180760940070164e-03,8.4397968160094738e-01,1.4987454519005405e-04,-3.8731951022078284e-15,-3.2708857002777183e-15,5.8229441990774533e-01,-1.2907287064318693e-04,-3.7920584014050696e-01,-7.2158225118744701e-03,7.0710678118654902e-01,5.0237591864288333e-15,5.7483073917665106e-01,-6.0180760940069331e-03,-4.1241460975975036e-01,3.9941770186212978e-04,-7.0710678118654624e-01,4.0312455147084703e-17,5.9775497367716879e-01,-8.1756721518596199e-04,8.1426672902456654e-01,7.5556109889241430e-03,-2.1981294421572523e-15,-6.7980096922074169e-15,5.3713874013235252e-01,-1.0860612988840520e-02,-4.1241460975974414e-01,3.9941770185655725e-04,7.0710678118654902e-01,6.9235995847454764e-15,5.9775497367716901e-01,-8.1756721518582765e-04,1.0907704298642326e-03,1.1090337842262783e-03,1.7744099237011258e-03,9.8964632891297222e-01,-7.0734478585446417e-02,9.9085018624275789e-01,-7.2010446234634665e-02,9.8149882765848429e-01,-1.1444061886977337e-01
6.8105136602345354e+01,-3.7924590936363772e-01,-7.0548881590228596e-03,-7.0710678118654924e-01,-3.4278135885301708e-15,5.7481667136577164e-01,-5.9545579049625989e-03,8.4394635519193195e-01,2.9517160109704399e-04,4.4766093619462091e-15,-4.1783847675659541e-16,5.8232345865880986e-01,-2.5419658543490709e-04,-3.7924590936363989e-01,-7.0548881590197787e-03,7.0710678118654591e-01,3.4694469519536142e-15,5.7481667136577108e-01,-5.9545579049625867e-03,-4.1243233763684228e-01,3.1294349738167669e-04,-7.0710678118654779e-01,-4.3417190411839493e-15,5.9772697769466943e-01,-9.2351765362737488e-04,8.1424092308873453e-01,7.4614149004598521e-03,1.4130832128153885e-15,1.7835269022861065e-15,5.3719188224078651e-01,-1.0635404366714138e-02,-4.1243233763684939e-01,3.1294349738112548e-04,7.0710678118654713e-01,2.5554322107478167e-15,5.9772697769466887e-01,-9.2351765362759422e-04,1.0902618609907680e-03,1.1086873021082437e-03,1.7710218799908061e-03,9.8943227153295121e-01,-7.3603071479710472e-02,9.9062661781640238e-01,-7.4942019160250214e-02,9.8051124148931157e-01,-1.1884190651113614e-01
7.0905490938862883e+01,-3.7928647110944735e-01,-6.8988205842419048e-03,-7.0710678118654435e-01,-6.6474603599431248e-15,5.7480233326169072e-01,-5.8929445991476991e-03,8.4391241727459065e-01,4.3610268936694618e-04,-7.7825516133755775e-15,6.8313602072117765e-15,5.8235295201509019e-01,-3.7555431650093847e-04,-3.7928647110941915e-01,-6.8988205842707706e-03,7.0710678118655079e-01,2.4980018054066022e-16,5.7480233326169139e-01,-5.8929445991474060e-03,-4.1245051641119285e-01,2.2906602460791211e-04,-7.0710678118653947e-01,5.0897613076772368e-15,5.9769874230093034e-01,-1.0262690049997229e-03,8.1421499511910345e-01,7.3700643991514089e-03,-1.6407466193245355e-14,-1.6650339870448172e-14,5.3724588833940390e-01,-1.0417003133340317e-02,-4.1245051641118025e-01,2.2906602461958894e-04,7.0710678118655546e-01,1.1987294120633915e-14,5.9769874230093090e-01,-1.0262690050000455e-03,1.0897905568863755e-03,1.1083657853342304e-03,1.7676094289699618e-03,9.8920085535892055e-01,-7.6590161727126196e-02,9.9038464214025335e-01,-7.7994193777503718e-02,9.7945825796457320e-01,-1.2340549773238169e-01
7.3820990546372755e+01,-3.7932747641775200e-01,-6.7473732168094880e-03,-7.0710678118655423e-01,3.0531133177191805e-16,5.7478774890622009e-01,-5.8331401080806335e-03,8.4387792303037257e-01,5.7288774697433764e-04,1.3143528005114441e-14,-8.2240751879964229e-15,5.8238285773758336e-01,-4.9333660539905427e-04,-3.7932747641775177e-01,-6.7473732168108203e-03,7.0710678118654080e-01,7.2025718722557031e-15,5.7478774890621942e-01,-5.8331401080810325e-03,-4.1246910738895998e-01,1.4765500113598568e-04,-7.0710678118654746e-01,-3.2295435726136166e-15,5.9767029361198165e-01,-1.1259842531290871e-03,8.1418896166243082e-01,7.2814134912145660e-03,7.8504622934192961e-17,-9.2242931947671642e-16,5.3730067764807976e-01,-1.0205065666443107e-02,-4.1246910738898268e-01,1.4765500112200430e-04,7.0710678118654768e-01,3.6679121604433947e-15,5.9767029361198287e-01,-1.1259842531288220e-03,1.0893559235847180e-03,1.1080695369627071e-03,1.7641736798597871e-03,9.8895058020478732e-01,-7.9700649216444167e-02,9.9012268817829097e-01,-8.1171961129886575e-02,9.7833533752292345e-01,-1.2813684185742333e-01
7.6856369980520014e+01,-3.7936886627704097e-01,-6.6003286564993990e-03,-7.0710678118653614e-01,-1.1601830607332886e-14,5.7477294555791592e-01,-5.7750601065863407e-03,8.4384293555214962e-01,7.0572045021100038e-04,-2.2563867512215440e-14,1.8484542948314332e-14,5.8241312670513057e-01,-6.0771081563951515e-04,-3.7936886627700739e-01,-6.6003286565192998e-03,7.0710678118655923e-01,-4.6906922790412864e-15,5.7477294555791836e-01,-5.7750601065862071e-03,-4.1248806815193600e-01,6.8596150205187025e-05,-7.0710678118653858e-01,2.4056146607654728e-15,5.9764166504256711e-01,-1.2228071672848585e-03,8.1416284611712308e-01,7.1953336756879769e-03,-2.0097183471152224e-14,-1.1562258996526062e-14,5.3735615664306036e-01,-9.9992891679000391e-03,-4.1248806815189681e-01,6.8596150236201713e-05,7.0710678118655623e-01,9.3170268271456587e-15,5.9764166504256500e-01,-1.2228071672848611e-03,1.0889523366845828e-03,1.1077936522342685e-03,1.7607093522319680e-03,9.8867983062457687e-01,-8.2939245562607691e-02,9.8983906847595626e-01,-8.4480117490819517e-02,9.7713774898839012e-01,-1.3304104440218484e-01
8.0016558472918234e+01,-3.7941062819332899e-01,-6.4574216238480475e-03,-7.0710678118665571e-01,6.9749761522075460e-14,5.7475793283478549e-01,-5.7186005738127290e-03,8.4380747619616825e-01,8.3483833904007820e-04,2.4831520106047902e-13,-1.6392697383929489e-13,5.8244374467362514e-01,-7.1888281547646468e-04,-3.7941062819363636e-01,-6.4574216236925608e-03,7.0710678118643944e-01,7.6647022062559245e-14,5.7475793283477283e-01,-5.7186005738139138e-03,-4.1250738017211258e-01,-8.2519092306482093e-06,-7.0710678118663184e-01,-4.9316132212707041e-14,5.9761285916743978e-01,-1.3169127062735814e-03,8.1413664517418616e-01,7.1116683402766704e-03,1.8087465124036907e-13,9.0518283512586937e-14,5.3741229668118484e-01,-9.7993032739192021e-03,-4.1250738017252303e-01,-8.2519095072916635e-06,7.0710678118646308e-01,-4.2418666296676385e-14,5.9761285916743190e-01,-1.3169127062714026e-03,1.0885850398266053e-03,1.1075443480774174e-03,1.7572238299320845e-03,9.8838688837528865e-01,-8.6311670329891968e-02,9.8953196588437509e-01,-8.7924492361290407e-02,9.7586023948550238e-01,-1.3812423985472383e-01
8.3306687935856900e+01,-3.7945264406886275e-01,-6.3185256554385283e-03,-7.0710678118654779e-01,-5.4262150328554526e-15,5.7474275991096513e-01,-5.6637135838374115e-03,8.4377165868977910e-01,9.6035268064159629e-04,4.0258073257477316e-15,4.6489981673274922e-15,5.8247461808483647e-01,-8.2694840113155602e-04,-3.7945264406887480e-01,-6.3185256554395830e-03,7.0710678118654735e-01,1.4294121442048890e-15,5.7474275991096535e-01,-5.6637135838373594e-03,-4.1252697266744015e-01,-8.2953689428054769e-05,-7.0710678118655113e-01,-3.0986752531919665e-15,5.9758394988856833e-01,-1.4083849808216508e-03,8.1411041953187990e-01,7.0303423797050662e-03,6.9084068182085966e-15,-5.2622630060569810e-16,5.3746892455550987e-01,-9.6049328524549123e-03,-4.1252697266744498e-01,-8.2953689420410656e-05,7.0710678118654391e-01,3.7567647876324326e-15,5.9758394988856567e-01,-1.4083849808214409e-03,1.0882358802930235e-03,1.1073036231945615e-03,1.7536963225339385e-03,9.8806976489943210e-01,-8.9821973399780639e-02,9.8919933930159931e-01,-9.1509188513228021e-02,9.7449764118041182e-01,-1.4339048748194694e-01
8.6732101296147491e+01,-3.7949493227545389e-01,-6.1833601765343971e-03,-7.0710678118649595e-01,-3.1613600626201332e-14,5.7472742433703639e-01,-5.6102884519771291e-03,8.4373547574394658e-01,1.0825154073439425e-03,-1.2555534034719377e-13,6.2873853598668089e-14,5.8250575610664357e-01,-9.3212629302011699e-04,-3.7949493227529535e-01,-6.1833601765902135e-03,7.0710678118659931e-01,-2.4716340085717547e-14,5.7472742433704083e-01,-5.6102884519767873e-03,-4.1254684398195041e-01,-1.5565986894312594e-04,-7.0710678118650294e-01,1.3000717814032733e-14,5.9755491985233467e-01,-1.4974087457554147e-03,8.1408414928519446e-01,6.9511902632603297e-03,-9.2556950439407659e-14,-3.2751147380357175e-14,5.3752605575619750e-01,-9.4157856837255895e-03,-4.1254684398174618e-01,-1.5565986883661853e-04,7.0710678118659187e-01,1.9897625734326018e-14,5.9755491985234344e-01,-1.4974087457566749e-03,1.0879157084882672e-03,1.1070833645011246e-03,1.7501400135817176e-03,9.8772646154364208e-01,-9.3476699857657330e-02,9.8883906383555675e-01,-9.5240877073540356e-02,9.7304389507564626e-01,-1.4884652563138714e-01
9.0298361171640849e+01,-3.7953747172879088e-01,-6.0516565847331671e-03,-7.0710678118660997e-01,2.8213542613286791e-14,5.7471193719195701e-01,-5.5582211437781789e-03,8.4369895475144518e-01,1.2015672111754250e-03,1.5167330081350980e-13,-7.0277110252797830e-14,5.8253714079904162e-01,-1.0346222753084434e-03,-3.7953747172899155e-01,-6.0516565846485126e-03,7.0710678118648529e-01,3.5152436517194019e-14,5.7471193719195246e-01,-5.5582211437786785e-03,-4.1256697470848658e-01,-2.2651163136576846e-04,-7.0710678118660397e-01,-2.8414669063263559e-14,5.9752577837275844e-01,-1.5841613148668643e-03,8.1405783656836106e-01,6.8740552138711452e-03,1.1697188817193984e-13,4.9483671777939488e-14,5.3758365176357636e-01,-9.2314869537859397e-03,-4.1256697470873321e-01,-2.2651163148516097e-04,7.0710678118649073e-01,-2.1475938787463668e-14,5.9752577837274767e-01,-1.5841613148650459e-03,1.0876253649761145e-03,1.1068852465799962e-03,1.7465574357429202e-03,9.8735487887747697e-01,-9.7281874886707032e-02,9.8844890716555733e-01,-9.9125701134657074e-02,9.7149273042796747e-01,-1.5449842391771826e-01
9.4011258904507542e+01,-3.7958015613681945e-01,-5.9233654205330666e-03,-7.0710678118649040e-01,-2.7283730830163222e-14,5.7469634406061110e-01,-5.5074917998720573e-03,8.4366219642641227e-01,1.3175505992903958e-03,-1.4046465555910052e-13,5.2454991295162668e-14,5.8256868460111277e-01,-1.1344765347533238e-03,-3.7958015613664120e-01,-5.9233654205740616e-03,7.0710678118660475e-01,-2.0317081350640365e-14,5.7469634406061587e-01,-5.5074917998717485e-03,-4.1258730005459493e-01,-2.9553578360363872e-04,-7.0710678118649750e-01,8.6507850552717196e-15,5.9749659274938782e-01,-1.6686755844091401e-03,8.1403154049680559e-01,6.7989053234687423e-03,-1.0425413925660157e-13,-2.4305767241265302e-14,5.3764155835272642e-01,-9.0519685076105791e-03,-4.1258730005436700e-01,-2.9553578351407890e-04,7.0710678118659753e-01,1.5617263167943143e-14,5.9749659274939848e-01,-1.6686755844110069e-03,1.0873493753702761e-03,1.1066936211602547e-03,1.7429282293536341e-03,9.8695235375722568e-01,-1.0124220438195204e-01,9.8802615426006957e-01,-1.0316840521386469e-01,9.6983784007749019e-01,-1.6035028583782446e-01
9.7876823965948702e+01,-3.7962304087842785e-01,-5.7980544081640273e-03,-7.0710678118665138e-01,2.0441981440910695e-14,5.7468062507484552e-01,-5.4579329232903595e-03,8.4362516051454550e-01,1.4308547096401614e-03,2.5427142015731710e-13,-5.1695121701304556e-14,5.8260043116317139e-01,-1.2320195082019449e-03,-3.7962304087868876e-01,-5.7980544081663865e-03,7.0710678118644388e-01,2.7408630920433552e-14,5.7468062507484319e-01,-5.4579329232895737e-03,-4.1260784228023484e-01,-3.6295983934135986e-04,-7.0710678118662251e-01,-2.5327239970244178e-15,5.9746732123686852e-01,-1.7512366320084735e-03,8.1400521519091662e-01,6.7254902568731258e-03,1.5104289452537680e-13,1.6682232373636591e-16,5.3769984288081762e-01,-8.8766262793992055e-03,-4.1260784228064817e-01,-3.6295983943131671e-04,7.0710678118647241e-01,4.4340078337105619e-15,5.9746732123684998e-01,-1.7512366320046745e-03,1.0871031839093852e-03,1.1065254747740897e-03,1.7392747125788369e-03,9.8651669617178372e-01,-1.0536548342185754e-01,9.8756839006964503e-01,-1.0737697368403652e-01,9.6807176741729006e-01,-1.6641001890087725e-01
